,Weekly rank,Title,Country,Director,Distributor,Screens (week),Gross revenue (week),Tickets (week),Screens (all-time),Gross revenue (all-time),Tickets (all-time),Days since premiere,Week,Weekly drop (revenue)
933,14,Marcas de Guerra,NOS Lusomundo Audiovisuais,Jason Hall,US,26,11723.93,2204,48,45009.08,8434,14,47,-0.6440903743843123
934,15,Peregrinação,NOS Lusomundo Audiovisuais,João Botelho,PT,21,10504.29,1872,69,96067.2499999997,17773,22,47,-0.582447456573389
935,16,Um Susto de Família,NOS Lusomundo Audiovisuais,Holger Tappe,"DE, GB",31,9942.2,2073,203,306274.110000001,62034,42,47,-0.5397781610568133
936,17,A Paixão de Van Gogh,Outsider Films,"Dorota Kobiela, Hugh Welchman","GB, PL",10,8295.06,1544,47,107974.779999999,20239,35,47,-0.31682131073822306
937,18,Stronger - A Força de Viver,Pris Audiovisuais,David Gordon Green,US,13,8089.35,1526,53,93958.6199999996,17837,22,47,-0.6698339037217076
938,19,Blade Runner 2049,Big Picture 2 Films,Denis Villeneuve,"US, CA, GB",13,7802.66999999999,1415,289,790949.829999996,134459,49,47,-0.44580200167481054
939,20,O Estrangeiro,Cinemundo,Martin Campbell,"US, CN, GB",7,7213.86,1366,129,347369.120000001,65476,42,47,-0.4902539381721286
940,1,Coco,NOS Lusomundo Audiovisuais,"Lee Unkrich, Adrian Molina",US,120,264247.46,51499,120,264247.46,51499,7,48,
941,2,Liga da Justiça,NOS Lusomundo Audiovisuais,Zack Snyder,US,102,248674.42,43256,165,787683.819999998,134953,14,48,-0.5343971714199444
942,3,Um Crime no Expresso do Oriente,Big Picture 2 Films,Kenneth Branagh,"US, MT",60,147857.99,27309,142,685497.06,127456,21,48,-0.33416727921317735
943,4,Só Para Bravos,Pris Audiovisuais,Joseph Kosinski,US,59,75205.6500000001,14162,59,75205.65,14162,7,48,
944,5,O Homem do Coração de Ferro,NOS Lusomundo Audiovisuais,Cédric Jimenez,"US, FR, BE, GB",26,47055.53,8711,26,47055.53,8711,7,48,
945,6,Thor: Ragnarok ,NOS Lusomundo Audiovisuais,Taika Waititi,US,72,42414.63,8678,266,1112297.70999999,194638,35,48,-0.420155708313697
946,7,Mães à Solta 2,Cinemundo,"Jon Lucas, Scott Moore","US, CN",42,39717.69,7477,95,184491.48,34757,21,48,-0.33608282129726796
947,8,O Espírito da Festa,NOS Lusomundo Audiovisuais,"Olivier Nakache, Eric Toledano","FR, CA, BE",17,30864.14,5801,17,30864.14,5801,7,48,
948,9,O Gangue do Parque 2,Outsider Films,Cal Brunker,"US, CA, KR",64,24922.71,5547,193,365746.300000002,74452,29,48,-0.6553153459409838
949,10,Rapto,NOS Lusomundo Audiovisuais,Luis Prieto,US,21,22420.34,4294,31,49802.32,9526,14,48,-0.17380249241066914
950,11,O Quadrado,Alambique,Ruben Östlund,"FR, DE, SE, DK",14,19858.94,3691,14,19858.94,3691,7,48,
951,12,Um Homem de Família,Cinemundo,Mark Williams,"US, CA",29,16712.06,3072,54,47563.7800000001,8766,14,48,-0.45054531012252874
952,13,Jigsaw: O Legado de Saw,Pris Audiovisuais,"Michael Spierig, Peter Spierig","US, CA",21,14566.17,2663,145,485088.900000004,90378,35,48,-0.6234293690124197
953,14,Sete Irmãs,NOS Lusomundo Audiovisuais,Tommy Wirkola,"US, FR, BE, GB",12,11584.59,2167,92,218169.04,40886,29,48,-0.5591469867762249
954,15,The Only Living Boy in New York,NOS Lusomundo Audiovisuais,Marc Webb,US,23,9110.42,1682,45,34233.3800000001,6300,14,48,-0.6365290966788045
955,16,Gauguin,Cinemundo,Edouard Deluc,FR,6,8149.65,1405,7,8624.4,1549,7,48,
956,17,Bob O Construtor: Mega Mechines - O Filme,Big Picture 2 Films,"Colleen Morton, Scott Pleydell-Pearce, Stuart Evans",GB,44,6298.35,1247,72,19897.01,3897,14,48,-0.5368403945682882
957,18,Vive,NOS Lusomundo Audiovisuais,Andy Serkis,GB,24,6071.96,1138,90,56785.8900000001,10773,21,48,-0.6601477516263705
958,19,A Paixão de Van Gogh,Outsider Films,"Dorota Kobiela, Hugh Welchman","GB, PL",8,4892.42,829,51,113062.349999999,21163,42,48,-0.41020077009690104
959,20,Peregrinação,NOS Lusomundo Audiovisuais,João Botelho,PT,9,4125.56,808,77,101653.86,19024,29,48,-0.607249990242082
960,1,Coco,NOS Lusomundo Audiovisuais,"Lee Unkrich, Adrian Molina",US,118,293453.060000001,57393,171,560518.639999999,109461,14,49,0.11052367352935377
961,2,Liga da Justiça,NOS Lusomundo Audiovisuais,Zack Snyder,US,97,196010.91,33569,214,987488.519999994,169215,21,49,-0.21177694915303313
962,3,A Estrela de Natal,Big Picture 2 Films,Timothy Reckart,US,72,173138.81,34542,72,173138.81,34542,7,49,
963,4,Pai Há Só Um... Ou Dois,NOS Lusomundo Audiovisuais,Sean Anders,US,67,141392.81,26503,67,141392.81,26503,7,49,
964,5,O Fim da Inocência,NOS Lusomundo Audiovisuais,Joaquim Leitão,PT,50,136757.7,25392,53,136757.7,25987,7,49,
965,6,Um Crime no Expresso do Oriente,Big Picture 2 Films,Kenneth Branagh,"US, MT",64,129629.82,23928,177,818740.049999999,152038,28,49,-0.12328160284067158
