,Weekly rank,Title,Country,Director,Distributor,Screens (week),Gross revenue (week),Tickets (week),Screens (all-time),Gross revenue (all-time),Tickets (all-time),Days since premiere,Week,Weekly drop (revenue)
24,5,Rogue One: Uma História de Star Wars,NOS Lusomundo Audiovisuais,Gareth Edwards,EUA,75,108352.27,18959,252,1490847.64000002,245270,28,2,-0.5814120963150025
25,6,Porquê Ele?,Big Picture 2 Films,John Hamburg,EUA,41,73155.3400000001,13735,102,317549.98,61503,21,2,-0.30860261445382786
26,7,Beleza Colateral,NOS Lusomundo Audiovisuais,David Frankel,EUA,48,71409.2,13433,125,314503.509999998,60037,21,2,-0.30388502988034605
27,8,Vaiana,NOS Lusomundo Audiovisuais,"Ron Clements, Don Hall",EUA,61,52922.02,10763,343,1524638.88000001,312164,49,2,-0.7035154542833183
28,9,A Encarnação do Mal,NOS Lusomundo Audiovisuais,Brad Peyton,EUA,33,32044.79,5964,56,89656.5800000001,16900,14,2,-0.4437806914175032
29,10,A Luz Entre Oceanos,NOS Lusomundo Audiovisuais,Derek Cianfrance,"EUA, Reino Unido, Nova Zelândia",38,28413.04,5490,67,78629.3300000001,15170,14,2,-0.4341867947632133
30,11,Bleed for This - A Força de Um Campeão ,NOS Lusomundo Audiovisuais,Ben Younger,EUA,36,27410.0,5213,64,77635.2600000001,14810,14,2,-0.454258673822694
31,12,Ovelhas e Lobos,Lanterna de Pedra Filmes,"Andrey Galat, Maxim Volkov",Rússia,30,21491.93,4350,30,21491.93,4350,7,2,
32,13,Festa de Natal da Empresa,NOS Lusomundo Audiovisuais,"Josh Gordon, Will Speck",EUA,14,19256.91,3600,173,591448.649999994,113454,35,2,-0.6362860089299873
33,14,O Herói da Quinta,NOS Lusomundo Audiovisuais,"Gabriel Riva Palacio Alatriste, Rodolfo Riva-Palacio Alatriste",México,35,18264.66,3783,81,130260.95,27701,21,2,-0.6312086666869928
34,15,Na Via Láctea,Midas Filmes,Emir Kusturica,"EUA, Reino Unido, Sérvia",8,14202.4,2549,12,32669.6,6134,14,2,-0.23093917865188018
35,16,Zeus,NOS Lusomundo Audiovisuais,Paulo Filipe Monteiro,Portugal,15,13792.9,2559,16,13989.4,2632,7,2,
36,17,Sala Oculta,NOS Lusomundo Audiovisuais,D. J. Caruso,EUA,11,13416.51,2620,11,13416.51,2620,7,2,
37,18,Aliados,NOS Lusomundo Audiovisuais,Robert Zemeckis,EUA,12,13373.99,2661,258,800175.429999986,150987,42,2,-0.6752675269226586
38,19,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,9,9000.5,1620,91,180200.820000001,34165,35,2,-0.4211338714345435
39,20,Monstros Fantásticos e Onde Encontrá-los,NOS Lusomundo Audiovisuais,David Yates,"EUA, Reino Unido",14,8478.82,1593,338,1785228.86000003,323042,56,2,-0.7501225247856664
40,1,Assassin's Creed,Big Picture 2 Films,Justin Kurzel,"EUA, França, Hong Kong, Reino Unido",76,263869.950000001,45690,104,737178.049999997,127759,14,3,-0.43944075776525715
41,2,Nos Limites da Lei,Pris Audiovisuais,Baran bo Odar,EUA,52,117812.57,22078,52,117812.57,22078,7,3,
42,3,Passageiros,Big Picture 2 Films,Morten Tyldum,EUA,67,102346.73,19180,170,814689.119999994,153511,28,3,-0.3190848873796285
43,4,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,84,101998.89,20894,324,1829518.88000002,375232,42,3,-0.27385011847050666
44,5,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,45,98203.4800000001,18272,80,218002.460000001,40826,14,3,-0.15110334933184522
45,6,Viver na Noite,NOS Lusomundo Audiovisuais,Ben Affleck,EUA,67,91303.88,17336,67,91303.8800000001,17336,7,3,
46,7,Ozzy,Outsider Films,Alberto Rodriguez,"Canadá, Espanha",57,84870.7599999999,17360,57,84870.76,17360,7,3,
47,8,Beleza Colateral,NOS Lusomundo Audiovisuais,David Frankel,EUA,34,52147.57,9806,141,368922.699999997,70262,28,3,-0.2697359723957137
48,9,Porquê Ele?,Big Picture 2 Films,John Hamburg,EUA,32,47904.11,9066,116,365984.32,70681,28,3,-0.3451727515722033
49,10,Rogue One: Uma História de Star Wars,NOS Lusomundo Audiovisuais,Gareth Edwards,EUA,51,45268.86,8526,278,1537672.57000003,254112,35,3,-0.5822066302810269
50,11,O Nome do Medo,Cinemundo,Stacy Title,EUA,18,36156.0,6681,18,36156.0,6681,7,3,
51,12,Miss Sloane - Uma Mulher de Armas,NOS Lusomundo Audiovisuais,John Madden,"EUA, França",30,36152.34,6768,30,36152.34,6768,7,3,
52,13,Vaiana,NOS Lusomundo Audiovisuais,"Ron Clements, Don Hall",EUA,38,22485.54,4811,354,1548243.24000001,317705,56,3,-0.5751193926460101
53,14,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,8,12939.03,2296,92,195340.010000001,36874,42,3,0.4375901338814512
54,15,Na Via Láctea,Midas Filmes,Emir Kusturica,"EUA, Reino Unido, Sérvia",8,10999.01,1993,16,45178.38,8414,21,3,-0.22555272348335487
55,16,Zeus,NOS Lusomundo Audiovisuais,Paulo Filipe Monteiro,Portugal,13,10687.13,1917,25,26348.42,4854,14,3,-0.22517164628178266
56,17,A Luz Entre Oceanos,NOS Lusomundo Audiovisuais,Derek Cianfrance,"EUA, Reino Unido, Nova Zelândia",15,9947.5,1889,76,89722.82,17270,21,3,-0.6498966671640909
57,18,Ovelhas e Lobos,Lanterna de Pedra Filmes,"Andrey Galat, Maxim Volkov",Rússia,28,9851.03,2109,47,31395.2399999999,6471,14,3,-0.5416405134392304
58,19,Homenzinhos,Alambique,Ira Sachs,"EUA, Grécia",7,9827.73,1999,8,9827.73,2163,7,3,
59,20,Aliados,NOS Lusomundo Audiovisuais,Robert Zemeckis,EUA,6,9704.1,1774,261,811780.849999986,153126,49,3,-0.2744050204912669
60,1,xXx: O Regresso de Xander Cage,NOS Lusomundo Audiovisuais,D. J. Caruso,EUA,77,367773.98,64371,77,367773.98,64371,7,4,
61,2,Silêncio,NOS Lusomundo Audiovisuais,Martin Scorsese,"EUA, México, Taiwan",77,313283.45,57661,77,313283.45,57661,7,4,
62,3,Assassin's Creed,Big Picture 2 Films,Justin Kurzel,"EUA, França, Hong Kong, Reino Unido",75,121165.81,22325,151,862335.039999996,150824,21,4,-0.5408123964096725
63,4,Ozzy,Outsider Films,Alberto Rodriguez,"Canadá, Espanha",65,91339.5200000001,18721,90,176399.98,36120,14,4,0.07621894749145897
64,5,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,71,72835.8499999999,14876,340,1904146.53000002,390631,49,4,-0.2859152682936069
65,6,Nos Limites da Lei,Pris Audiovisuais,Baran bo Odar,EUA,46,66708.1699999999,12496,78,185191.3,34705,14,4,-0.4337771427955447
66,7,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,41,64762.05,12069,97,287248.530000001,53738,21,4,-0.3405320259526451
67,8,Passageiros,Big Picture 2 Films,Morten Tyldum,EUA,54,62976.4599999999,11902,204,879399.539999991,165742,35,4,-0.38467540682540713
68,9,Viver na Noite,NOS Lusomundo Audiovisuais,Ben Affleck,EUA,62,37907.11,7191,120,130494.85,24776,14,4,-0.5848247631973581
69,10,Beleza Colateral,NOS Lusomundo Audiovisuais,David Frankel,EUA,31,33592.11,6534,157,405999.849999996,77505,35,4,-0.35582597616725
70,11,Porquê Ele?,Big Picture 2 Films,John Hamburg,EUA,23,28320.97,5401,129,394473.41,76111,35,4,-0.40879874399086
71,12,O Nome do Medo,Cinemundo,Stacy Title,EUA,18,22974.01,4271,27,59130.01,10952,14,4,-0.36458651399491093
72,13,Rogue One: Uma História de Star Wars,NOS Lusomundo Audiovisuais,Gareth Edwards,EUA,25,19089.2,3505,292,1559750.81000003,258232,42,4,-0.5783149829706337
73,14,Miss Sloane - Uma Mulher de Armas,NOS Lusomundo Audiovisuais,John Madden,"EUA, França",35,18883.17,3596,57,55862.41,10531,14,4,-0.4776777934706301
74,15,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,11,14027.0,2688,100,213685.230000001,40376,49,4,0.08408435562789474
75,16,Vaiana,NOS Lusomundo Audiovisuais,"Ron Clements, Don Hall",EUA,30,11866.82,2390,362,1562780.06000001,320900,63,4,-0.4722466082646892
76,17,Homenzinhos,Alambique,Ira Sachs,"EUA, Grécia",4,7126.99,1375,9,17855.06,3719,14,4,-0.2748081194741817
77,18,Na Via Láctea,Midas Filmes,Emir Kusturica,"EUA, Reino Unido, Sérvia",6,6221.03,1104,22,53402.91,9918,28,4,-0.434400914264102
78,19,Zeus,NOS Lusomundo Audiovisuais,Paulo Filipe Monteiro,Portugal,12,5881.06,1060,30,33850.8,6218,21,4,-0.4497063290144313
79,20,A Morte de Luís XIV,Kino Filmes,Albert Serra,"Portugal, França, Espanha",5,5115.2,913,8,10037.2,1799,14,4,
80,1,La La Land: Melodia de Amor,Pris Audiovisuais,Damien Chazelle,Reino Unido,80,460169.929999999,86299,80,460169.929999999,86299,7,5,
81,2,Silêncio,NOS Lusomundo Audiovisuais,Martin Scorsese,"EUA, México, Taiwan",86,248712.7,45274,125,568081.549999998,104007,14,5,-0.20610967480088715
82,3,xXx: O Regresso de Xander Cage,NOS Lusomundo Audiovisuais,D. J. Caruso,EUA,81,215472.64,40100,133,585490.019999996,104889,14,5,-0.4141166811202902
83,4,Resident Evil: Capítulo Final,Big Picture 2 Films,Paul W. S. Anderson,"França, Alemanha, Canadá, Austrália",65,176746.95,29727,65,176746.950000001,29727,7,5,
84,5,Ozzy,Outsider Films,Alberto Rodriguez,"Canadá, Espanha",64,90886.2200000001,19049,122,267853.0,55270,21,5,-0.004962802519654197
85,6,Assassin's Creed,Big Picture 2 Films,Justin Kurzel,"EUA, França, Hong Kong, Reino Unido",72,74837.78,14182,206,937946.019999995,165156,28,5,-0.3823523318995681
86,7,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,35,48604.38,9012,114,337519.229999999,63089,28,5,-0.24949287429906875
87,8,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,52,47830.1799999999,9784,357,1952512.96000003,401046,56,5,-0.3433154140440462
88,9,Nos Limites da Lei,Pris Audiovisuais,Baran bo Odar,EUA,40,46382.2,8709,108,231913.300000001,43477,21,5,-0.3046998591027146
89,10,Aqui Há Gato!,NOS Lusomundo Audiovisuais,Barry Sonnenfeld,"França, China",32,36481.28,7233,32,36481.28,7233,7,5,
90,11,Passageiros,Big Picture 2 Films,Morten Tyldum,EUA,35,28695.0,5375,224,908418.139999991,171178,42,5,-0.5443535568687086
91,12,Beleza Colateral,NOS Lusomundo Audiovisuais,David Frankel,EUA,22,21823.64,4104,166,428873.189999995,81798,42,5,-0.3503343493457244
92,13,Porquê Ele?,Big Picture 2 Films,John Hamburg,EUA,17,18631.6,3576,138,413178.810000001,79700,42,5,-0.34212705285165024
93,14,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,6,14759.46,2664,102,228752.190000001,43093,56,5,0.05221786554502028
94,15,O Nome do Medo,Cinemundo,Stacy Title,EUA,15,13297.2,2502,34,72521.01,13470,21,5,-0.4212068332868314
95,16,Rogue One: Uma História de Star Wars,NOS Lusomundo Audiovisuais,Gareth Edwards,EUA,16,12945.19,2595,299,1573851.00000003,261103,49,5,-0.32185790918425083
96,17,Viver na Noite,NOS Lusomundo Audiovisuais,Ben Affleck,EUA,33,10452.65,2029,141,141407.8,26885,21,5,-0.7242562147312206
97,18,Miss Sloane - Uma Mulher de Armas,NOS Lusomundo Audiovisuais,John Madden,"EUA, França",21,10157.19,1874,68,66350.5,12462,21,5,-0.46210355570595396
98,19,O Divã de Estaline,Leopardo Filmes,Fanny Ardant,"Portugal, França",10,9871.89,1949,11,12309.64,2871,7,5,
99,20,Vaiana,NOS Lusomundo Audiovisuais,"Ron Clements, Don Hall",EUA,22,8043.89,1671,368,1570882.95000002,322581,70,5,-0.3221528598225978
100,1,La La Land: Melodia de Amor,Pris Audiovisuais,Damien Chazelle,Reino Unido,91,333841.489999999,62184,125,795297.169999997,148737,14,6,-0.2745256301297224
101,2,Fragmentado,NOS Lusomundo Audiovisuais,M. Night Shyamalan,EUA,54,166311.58,31432,55,166821.980000001,31526,7,6,
102,3,Silêncio,NOS Lusomundo Audiovisuais,Martin Scorsese,"EUA, México, Taiwan",85,142714.26,26138,159,711126.209999996,130212,21,6,-0.4261882887363613
103,4,xXx: O Regresso de Xander Cage,NOS Lusomundo Audiovisuais,D. J. Caruso,EUA,71,135175.97,25390,175,720878.189999993,130325,21,6,-0.37265366962599056
104,5,Elementos Secretos,Big Picture 2 Films,Theodore Melfi,EUA,45,127541.72,24054,45,127541.72,24054,7,6,
105,6,Resident Evil: Capítulo Final,Big Picture 2 Films,Paul W. S. Anderson,"França, Alemanha, Canadá, Austrália",69,100442.22,16755,121,277297.770000001,46499,14,6,-0.4317173789986193
106,7,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,17,82576.7900000001,15658,17,82576.7900000001,15658,7,6,
107,8,Ozzy,Outsider Films,Alberto Rodriguez,"Canadá, Espanha",65,81334.35,16782,148,349240.549999998,72065,28,6,-0.10509701030585372
108,9,Patriots Day - Unidos Por Boston,Pris Audiovisuais,Peter Berg,EUA,43,60805.8699999999,11547,43,60805.8699999999,11547,7,6,
109,10,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,49,37160.19,7465,366,1990198.71000003,408667,63,6,-0.2230806992572455
110,11,Aqui Há Gato!,NOS Lusomundo Audiovisuais,Barry Sonnenfeld,"França, China",32,30132.38,6145,50,66650.4599999999,13384,14,6,-0.17403172257113775
111,12,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,30,27530.87,5206,133,365134.499999998,68309,35,6,-0.43357224184322485
112,13,As Cinquenta Sombras Mais Negras,NOS Lusomundo Audiovisuais,James Foley,EUA,19,27000.82,3984,19,27000.82,3984,0,6,
113,14,Assassin's Creed,Big Picture 2 Films,Justin Kurzel,"EUA, França, Hong Kong, Reino Unido",31,23461.44,4401,225,962368.159999994,169859,35,6,-0.6865027262967982
114,15,Nos Limites da Lei,Pris Audiovisuais,Baran bo Odar,EUA,18,18007.4,3461,120,250385.700000001,47093,28,6,-0.6117605460715533
115,16,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,8,12936.54,2292,105,241814.130000001,45405,63,6,-0.12350858364736905
116,17,Beleza Colateral,NOS Lusomundo Audiovisuais,David Frankel,EUA,12,11418.9,2110,172,440895.289999995,84070,49,6,-0.4767646460443812
117,18,Porquê Ele?,Big Picture 2 Films,John Hamburg,EUA,12,7831.08,1491,144,421009.89,81191,49,6,-0.5796882715386762
118,19,Passageiros,Big Picture 2 Films,Morten Tyldum,EUA,9,6614.72,1198,228,915386.259999991,172487,49,6,-0.7694817912528316
119,20,Vaiana,NOS Lusomundo Audiovisuais,"Ron Clements, Don Hall",EUA,22,6161.6,1449,372,1577415.36000002,324165,77,6,-0.23400245403654196
120,1,As Cinquenta Sombras Mais Negras,NOS Lusomundo Audiovisuais,James Foley,EUA,118,1047544.31,193893,125,1077298.83,198285,7,7,37.7967591354633
121,2,La La Land: Melodia de Amor,Pris Audiovisuais,Damien Chazelle,Reino Unido,80,231373.06,43366,177,1028979.53,192559,21,7,-0.3069373731827021
122,3,Rings,NOS Lusomundo Audiovisuais,F. Javier Gutiérrez,EUA,27,132599.98,22949,27,132599.98,22949,7,7,
123,4,Fragmentado,NOS Lusomundo Audiovisuais,M. Night Shyamalan,EUA,46,126208.95,23799,94,294584.330000001,55654,14,7,-0.24112951124630044
124,5,Elementos Secretos,Big Picture 2 Films,Theodore Melfi,EUA,41,100460.97,18848,78,229125.39,43108,14,7,-0.2123285619795624
125,6,xXx: O Regresso de Xander Cage,NOS Lusomundo Audiovisuais,D. J. Caruso,EUA,57,95129.25,18053,210,816583.139999991,148490,28,7,-0.2962562058922159
126,7,Silêncio,NOS Lusomundo Audiovisuais,Martin Scorsese,"EUA, México, Taiwan",68,94369.4200000001,17304,194,808916.329999995,148304,28,7,-0.3387526936691534
127,8,Jackie,Cinemundo,Pablo Larraín,"EUA, França, Chile",37,92450.52,17225,37,92450.5200000001,17225,7,7,
128,9,Ozzy,Outsider Films,Alberto Rodriguez,"Canadá, Espanha",74,68800.69,14632,177,418132.639999998,86712,35,7,-0.1541004507935454
129,10,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,18,64983.13,12142,26,148226.92,27913,14,7,-0.213058172883689
130,11,Resident Evil: Capítulo Final,Big Picture 2 Films,Paul W. S. Anderson,"França, Alemanha, Canadá, Austrália",44,38915.8,6169,144,316589.270000001,52747,21,7,-0.6125553576971914
131,12,Patriots Day - Unidos Por Boston,Pris Audiovisuais,Peter Berg,EUA,44,26711.38,5044,75,87898.6499999999,16666,14,7,-0.5607105037720858
132,13,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,49,25430.37,5260,375,2016618.03000003,414229,70,7,-0.31565554428004816
133,14,Aqui Há Gato!,NOS Lusomundo Audiovisuais,Barry Sonnenfeld,"França, China",27,19271.98,4086,62,85943.54,17474,21,7,-0.36042290718489545
134,15,Polícias Corruptos,Lanterna de Pedra Filmes,"Alex Brewer, Benjamin Brewer, Ben Brewer",EUA,11,16539.34,3171,11,16539.34,3171,7,7,
135,16,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,18,16015.24,2953,141,381414.639999999,71320,42,7,-0.4182806427839004
136,17,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,5,13689.24,2462,107,256179.670000001,48012,70,7,0.05818402756842245
137,18,Assassin's Creed,Big Picture 2 Films,Justin Kurzel,"EUA, França, Hong Kong, Reino Unido",6,5654.5,1052,229,968084.759999994,170922,42,7,-0.7589875131279239
138,19,Beleza Colateral,NOS Lusomundo Audiovisuais,David Frankel,EUA,4,4840.72,880,175,446301.259999994,85092,56,7,-0.5760782562243298
139,20,Vaiana,NOS Lusomundo Audiovisuais,"Ron Clements, Don Hall",EUA,18,4185.68,816,374,1581601.04000002,324981,84,7,-0.3206829394962347
140,1,As Cinquenta Sombras Mais Negras,NOS Lusomundo Audiovisuais,James Foley,EUA,92,560987.95,103430,154,1641589.88000001,302411,14,8,-0.4644732975543536
141,2,A Grande Muralha,NOS Lusomundo Audiovisuais,Yimou Zhang,"EUA, China",77,329903.62,58813,77,329903.62,58813,7,8,
142,3,Lego Batman: O Filme,NOS Lusomundo Audiovisuais,Chris McKay,"EUA, Dinamarca",101,196864.11,37482,101,196864.11,37482,7,8,
143,4,La La Land: Melodia de Amor,Pris Audiovisuais,Damien Chazelle,Reino Unido,66,135573.2,25080,228,1165939.23,217891,28,8,-0.41404932795546723
144,5,Fragmentado,NOS Lusomundo Audiovisuais,M. Night Shyamalan,EUA,37,66068.9299999999,12478,121,360865.66,68172,21,8,-0.4765115310760457
145,6,Rings,NOS Lusomundo Audiovisuais,F. Javier Gutiérrez,EUA,24,64231.68,11962,38,196831.66,34911,14,8,-0.5155981169831247
146,7,Elementos Secretos,Big Picture 2 Films,Theodore Melfi,EUA,40,61643.03,11436,97,291331.32,54640,21,8,-0.38639822012469127
147,8,Jackie,Cinemundo,Pablo Larraín,"EUA, França, Chile",33,51762.37,9568,63,146737.090000001,27366,14,8,-0.440107313620302
148,9,Mulheres do Século XX,NOS Lusomundo Audiovisuais,Mike Mills,EUA,17,43805.26,8170,17,43805.26,8170,7,8,
149,10,Silêncio,NOS Lusomundo Audiovisuais,Martin Scorsese,"EUA, México, Taiwan",36,40233.96,7377,216,850560.789999994,156046,35,8,-0.5736546860201117
150,11,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,21,39266.54,7292,39,187801.26,35258,21,8,-0.39574255656814306
151,12,xXx: O Regresso de Xander Cage,NOS Lusomundo Audiovisuais,D. J. Caruso,EUA,29,33725.89,6353,234,851464.92999999,155141,35,8,-0.6454729749262188
152,13,Ozzy,Outsider Films,Alberto Rodriguez,"Canadá, Espanha",51,27068.53,6083,198,445228.069999997,92800,42,8,-0.6065660097304257
153,14,Toni Erdmann,Alambique,Maren Ade,"Alemanha, Áustria, Roménia",10,15324.58,2912,12,17954.7,3440,7,8,
154,15,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,6,11528.94,2072,108,267833.310000002,50104,77,8,-0.15781007565065697
155,16,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,26,10179.03,2121,383,2031228.71000003,417842,77,8,-0.5997293786916982
156,17,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,11,9973.41,1809,146,391641.749999998,73194,49,8,-0.377255039574805
157,18,Resident Evil: Capítulo Final,Big Picture 2 Films,Paul W. S. Anderson,"França, Alemanha, Canadá, Austrália",18,6977.89,1334,155,323584.560000001,54084,28,8,-0.8206926235616382
158,19,"Paris,Texas",Leopardo Filmes,Wim Wenders,"França, Reino Unido, República Federal da Alemanha",2,6705.25,1290,4,6869.75,1366,9,8,
159,20,Aqui Há Gato!,NOS Lusomundo Audiovisuais,Barry Sonnenfeld,"França, China",15,6086.0,1272,71,92142.14,18775,28,8,-0.6842047366176178
160,1,As Cinquenta Sombras Mais Negras,NOS Lusomundo Audiovisuais,James Foley,EUA,87,367018.41,69315,175,2009731.89000002,371954,21,9,-0.3457641826352954
161,2,A Grande Muralha,NOS Lusomundo Audiovisuais,Yimou Zhang,"EUA, China",70,319465.949999999,58084,107,650015.869999998,117028,14,9,-0.03163854340246697
162,3,Lego Batman: O Filme,NOS Lusomundo Audiovisuais,Chris McKay,"EUA, Dinamarca",98,312644.699999999,61457,159,509591.909999997,98956,14,9,0.5881244173963402
163,4,John Wick 2,Pris Audiovisuais,Chad Stahelski,EUA,62,244911.75,46656,62,244911.75,46656,7,9,
164,5,La La Land: Melodia de Amor,Pris Audiovisuais,Damien Chazelle,Reino Unido,65,169210.09,31889,257,1337006.92000001,250386,35,9,0.24810869699911176
165,6,Vedações,NOS Lusomundo Audiovisuais,Denzel Washington,EUA,25,129387.14,24626,27,129617.94,24672,7,9,
166,7,T2 Trainspotting,Big Picture 2 Films,Danny Boyle,Reino Unido,46,88817.2000000002,16330,46,88817.2000000001,16330,7,9,
167,8,Rings,NOS Lusomundo Audiovisuais,F. Javier Gutiérrez,EUA,29,65423.49,11710,56,262420.150000001,46655,21,9,0.018554862647216952
168,9,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,19,57887.25,10819,50,245688.51,46077,28,9,0.47421315960102417
169,10,Elementos Secretos,Big Picture 2 Films,Theodore Melfi,EUA,25,55728.08,10457,112,347068.899999999,65099,28,9,-0.09595488735709445
170,11,Fragmentado,NOS Lusomundo Audiovisuais,M. Night Shyamalan,EUA,31,43089.59,8138,142,403955.25,76310,28,9,-0.34780856902026325
171,12,Ozzy,Outsider Films,Alberto Rodriguez,"Canadá, Espanha",38,39339.97,8524,209,485696.539999996,101773,49,9,0.4533471156357587
172,13,Jackie,Cinemundo,Pablo Larraín,"EUA, França, Chile",23,32289.7,6002,78,179026.79,33368,21,9,-0.3761935552796366
173,14,Mulheres do Século XX,NOS Lusomundo Audiovisuais,Mike Mills,EUA,22,31375.32,5835,36,75180.5800000001,14005,14,9,-0.2837545080202698
174,15,Silêncio,NOS Lusomundo Audiovisuais,Martin Scorsese,"EUA, México, Taiwan",19,31016.5,5654,224,882846.289999994,162123,42,9,-0.22909651448676693
175,16,xXx: O Regresso de Xander Cage,NOS Lusomundo Audiovisuais,D. J. Caruso,EUA,20,26459.39,5190,241,877930.81999999,160333,42,9,-0.21545762024367632
176,17,Cantar!,NOS Lusomundo Audiovisuais,"Garth Jennings, Christophe Lourdelet",EUA,28,23904.6,5241,386,2055144.31000003,423086,84,9,1.3484163029286678
177,18,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,5,17765.5,3186,108,285598.810000001,53290,84,9,0.540948257168482
178,19,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,9,16479.77,2964,150,410167.019999998,76651,56,9,0.6523706535678369
179,20,Aqui Há Gato!,NOS Lusomundo Audiovisuais,Barry Sonnenfeld,"França, China",14,14781.83,3110,77,106941.47,21889,35,9,1.4288251725271115
180,1,Logan,Big Picture 2 Films,James Mangold,EUA,83,455185.580000001,80181,83,455185.580000001,80181,7,10,
181,2,As Cinquenta Sombras Mais Negras,NOS Lusomundo Audiovisuais,James Foley,EUA,79,180288.64,33208,215,2191300.28000003,405514,28,10,-0.5087749412897298
182,3,A Grande Muralha,NOS Lusomundo Audiovisuais,Yimou Zhang,"EUA, China",76,107341.63,20092,143,758984.999999996,137410,21,10,-0.6639966481560857
183,4,John Wick 2,Pris Audiovisuais,Chad Stahelski,EUA,57,96586.2399999999,17966,96,342034.790000001,64720,14,10,-0.6056283947176895
184,5,Lego Batman: O Filme,NOS Lusomundo Audiovisuais,Chris McKay,"EUA, Dinamarca",72,81112.3799999998,16351,198,591197.189999996,115438,21,10,-0.7405605148591994
185,6,Ouro,NOS Lusomundo Audiovisuais,Stephen Gaghan,EUA,43,79171.26,14739,43,79171.2599999999,14739,7,10,
186,7,Rock Dog - Um Sonho Altamente!,Pris Audiovisuais,Ash Brannon,"EUA, China",55,76657.2899999999,15250,55,76657.2899999999,15250,7,10,
187,8,Moonlight,NOS Lusomundo Audiovisuais,Barry Jenkins,EUA,29,68288.8600000001,12519,73,314616.370000001,58738,35,10,0.17968740957637652
188,9,Vedações,NOS Lusomundo Audiovisuais,Denzel Washington,EUA,24,63648.75,11819,44,193266.69,36491,14,10,-0.5080751456443044
189,10,La La Land: Melodia de Amor,Pris Audiovisuais,Damien Chazelle,Reino Unido,54,62171.2099999999,11591,285,1399178.13,261977,42,10,-0.6325797710999391
190,11,T2 Trainspotting,Big Picture 2 Films,Danny Boyle,Reino Unido,41,36267.14,6514,81,125084.34,22844,14,10,-0.591665353107282
191,12,O Espaço Que Nos Une,Cinemundo,Peter Chelsom,EUA,27,32549.8500000001,6182,27,32549.8500000001,6182,7,10,
192,13,Elementos Secretos,Big Picture 2 Films,Theodore Melfi,EUA,18,20079.3,3716,122,367312.300000001,68844,35,10,-0.6396915163773811
193,14,Um Instante de Amor,Outsider Films,Nicole Garcia,"França, Canadá, Bélgica",13,16005.64,3071,13,16005.64,3071,7,10,
194,15,Rings,NOS Lusomundo Audiovisuais,F. Javier Gutiérrez,EUA,17,14094.69,2642,67,276514.84,49297,28,10,-0.7845622420937801
195,16,Lion - A Longa Estrada Para Casa,Pris Audiovisuais,Garth Davis,Austrália,8,9902.78999999999,1848,113,295805.600000002,55191,91,10,-0.44258309645098703
196,17,Manchester by the Sea,NOS Lusomundo Audiovisuais,Kenneth Lonergan,EUA,8,9074.64,1629,153,419565.659999998,78403,63,10,-0.4493466838432818
197,18,Silêncio,NOS Lusomundo Audiovisuais,Martin Scorsese,"EUA, México, Taiwan",10,8838.63999999999,1601,229,892390.729999994,163968,49,10,-0.7150342559605374
198,19,Jackie,Cinemundo,Pablo Larraín,"EUA, França, Chile",7,6952.95999999999,1228,84,185979.75,34596,28,10,-0.7846694147049991
199,20,Ozzy,Outsider Films,Alberto Rodriguez,"Canadá, Espanha",27,6902.17,1406,220,492759.209999996,103248,56,10,-0.8245507050462926
