,Weekly drop (revenue),Title,Screens (week),Days since premiere
712,-0.6468957107600624,Carros 3,32,49
714,-0.5149234884583891,Dunkirk,13,49
715,-0.6557601783705134,Alibi.com,24,14
716,-0.7417522303170825,Atomic Blonde - Agente Especial,26,28
717,-0.43299512228283965,Wind River,11,21
719,-0.6235491121430345,Valerian e a Cidade dos Mil Planetas,13,42
720,-0.35465746314188895,Barry Seal: Traficante Americano,80,14
721,-0.44371287785261415,O Guarda-Costas e o Assassino,75,21
724,-0.4635653195094127,Emoji: O Filme,69,35
726,-0.43230896516915984,Annabelle 2: A Criação do Mal,42,35
727,-0.5012275890121269,Dia de Surf 2,55,14
728,-0.5346361930662599,A Torre Negra,42,28
729,-0.5826345225086444,Baby Driver - Alta Velocidade,25,42
730,-0.6092313959616467,Um Voo em Grande,44,21
731,-0.39365082639182536,De Braços Abertos,17,42
735,-0.5440924644684906,Índice Médio de Felicidade,42,14
737,-0.2899683228687807,Dunkirk,10,56
738,-0.5069345157375034,Gru - O Maldisposto 3,24,77
739,-0.6304149522246718,Carros 3,24,56
741,-0.37245528495978775,Barry Seal: Traficante Americano,75,21
743,-0.5034187020140689,O Guarda-Costas e o Assassino,55,28
744,-0.35583498960647575,Bigfoot Junior,55,14
745,-0.5758105477325358,Renegados,57,14
746,-0.5587492224759392,Sorte à Logan,57,14
747,-0.5957710851541389,Emoji: O Filme,57,42
750,-0.7457945782793192,Annabelle 2: A Criação do Mal,26,42
752,-0.32279717019762,De Braços Abertos,10,49
753,-0.7485987247502695,Dia de Surf 2,42,21
755,-0.7718812082544784,Baby Driver - Alta Velocidade,10,49
756,-0.6437986078765706,Os Crimes de Limehouse,13,14
758,-0.6670099444800444,Una - Negra Sedução,13,14
759,-0.47409155983711004,Dunkirk,4,63
760,-0.4656296706475156,It,81,14
763,-0.30743760615066384,Barry Seal: Traficante Americano,68,28
764,-0.35910462959092804,Assassino Americano,43,14
765,-0.040367045405568014,Bigfoot Junior,57,21
767,-0.5886399742487646,O Guarda-Costas e o Assassino,35,35
768,-0.2976298100482432,Emoji: O Filme,48,49
769,-0.6429927632313726,Renegados,39,21
771,-0.7158664956563052,Sorte à Logan,35,21
772,-0.46574907369151775,First Kill - Caça ao Homem,20,14
773,-0.5196189954087577,Detroit,22,14
774,-0.478260417669937,Reviver o Passado em Montauk,9,14
775,-0.34477183187740146,Dia de Surf 2,30,28
776,-0.436427485034675,De Braços Abertos,8,56
777,-0.7279696086562003,Annabelle 2: A Criação do Mal,11,49
778,-0.4178267865394486,6 Dias,10,14
779,-0.8563555623031085,Um Voo em Grande,24,35
780,-0.2019909019738101,Kingsman: O Círculo Dourado,91,14
781,-0.32911477652721444,It,76,21
785,-0.16268211658450793,Barry Seal: Traficante Americano,54,35
786,-0.2566517445879283,Mãe!,61,14
787,-0.2501832090255657,Assassino Americano,40,21
788,-0.3241879459420557,Bigfoot Junior,48,28
789,-0.38065004156838844,Uma Casa Cheia,38,14
790,-0.32595125218096266,O Guarda-Costas e o Assassino,26,42
792,-0.3688891573513351,Emoji: O Filme,37,56
794,-0.279706984975589,A Fábrica de Nada,10,14
795,-0.6114347137024274,Renegados,19,28
798,-0.375042916187986,De Braços Abertos,6,63
799,-0.5652832173265177,Reviver o Passado em Montauk,7,21
801,-0.30435804588577,Kingsman: O Círculo Dourado,73,21
802,-0.30786337469877945,It,69,28
803,0.017558122589216962,Lego Ninjago - O Filme,82,14
804,-0.17752983270695688,Linha Mortal,46,14
805,-0.23009316705285565,Vitória & Abdul,39,14
806,-0.3092321784452762,Barry Seal: Traficante Americano,39,42
807,-0.04631944024232881,Bigfoot Junior,41,35
808,-0.455343306933652,Mãe!,49,21
809,-0.43648242135800797,Assassino Americano,21,28
811,0.0664797417738594,Emoji: O Filme,35,63
812,-0.17906424725860126,Era Uma Vez em Los Angeles,13,14
813,-0.6175698072973443,Uma Casa Cheia,29,21
815,-0.3600058190001385,Elis,9,14
819,-0.4023646376084552,A Fábrica de Nada,6,21
820,-0.435688040176643,Blade Runner 2049,127,14
824,-0.46093630596032165,Kingsman: O Círculo Dourado,66,28
826,-0.5403110458054614,It,57,35
827,-0.6740529759188878,Lego Ninjago - O Filme,68,21
828,-0.4707636054873192,Vitória & Abdul,34,21
829,-0.6328123798322188,Linha Mortal,37,21
831,-0.539649178402662,Barry Seal: Traficante Americano,21,49
832,-0.7175714076540545,Bigfoot Junior,37,42
833,-0.7551869999211489,Mãe!,18,28
834,-0.6738808124407194,Assassino Americano,13,35
836,-0.44676443858899406,Al Berto,14,14
838,-0.4333242482448364,Elis,4,21
839,-0.7072182521763932,Bling - Super-Heróis,33,14
842,-0.4839600163945994,Blade Runner 2049,113,21
843,-0.2789512899694423,O Estrangeiro,46,14
844,-0.16833869303087257,Um Susto de Família,67,14
845,-0.39134462877585563,Feliz Dia Para Morrer,41,14
846,-0.37330058414942047,Alguém Como Eu,56,14
849,-0.5516159658675318,Kingsman: O Círculo Dourado,41,35
850,-0.27969507058357146,Vitória & Abdul,24,28
851,-0.40824721885343873,Lego Ninjago - O Filme,57,28
853,-0.6230461834454567,It,28,42
854,-0.32467456257041305,A Febre das Tulipas,17,14
855,-0.4665805581195881,Barry Seal: Traficante Americano,12,56
858,-0.41465508054505085,Bigfoot Junior,24,49
859,-0.857500717116279,Linha Mortal,10,28
860,81.141045093635,Thor: Ragnarok ,111,7
862,-0.329576045817349,Geostorm - Ameaça Global,106,14
863,0.14288955949037407,Um Susto de Família,88,21
864,-0.33504135770666543,O Boneco de Neve,79,14
865,-0.28844909858506973,O Estrangeiro,56,21
866,-0.48613809930147656,Blade Runner 2049,80,28
868,0.2540210407940209,O Pequeno Vampiro,72,14
869,-0.21692896682776042,Feliz Dia Para Morrer,50,21
870,-0.24159020341229065,A Paixão de Van Gogh,23,14
873,-0.6662580708222865,Alguém Como Eu,36,21
875,-0.40076919775553743,Lego Ninjago - O Filme,52,35
876,-0.49248371271114666,Vitória & Abdul,18,35
878,-0.6560760129640004,O Castelo de Vidro,24,14
879,-0.7745223642739117,Kingsman: O Círculo Dourado,17,42
880,-0.4475511773826327,Thor: Ragnarok ,101,14
881,-0.3176261540151344,Jigsaw: O Legado de Saw,58,14
882,1.5739488426505628,O Gangue do Parque 2,76,8
883,4.7374600013689925,Sete Irmãs,36,8
884,-0.3422597591113168,Geostorm - Ameaça Global,66,21
885,5.16065295944122,Stronger - A Força de Viver,30,8
887,-0.3113123334497847,O Estrangeiro,26,28
888,-0.4706949569622807,O Boneco de Neve,49,21
889,-0.583610414280926,Um Susto de Família,55,28
890,-0.42834064607398403,Blade Runner 2049,42,35
892,-0.21861988279018774,A Paixão de Van Gogh,17,21
893,-0.6370757464864164,O Pequeno Vampiro,41,21
894,-0.6426174709157979,Feliz Dia Para Morrer,25,28
896,-0.2011374197454021,Vitória & Abdul,10,42
897,-0.5172673010614264,Amor de Improviso,15,14
899,-0.5772984368228604,Alguém Como Eu,9,28
901,-0.44230076571199095,Thor: Ragnarok ,87,21
902,-0.24345132015866056,O Gangue do Parque 2,76,15
904,-0.4726924819881334,Jigsaw: O Legado de Saw,52,21
905,-0.39793015369003293,Sete Irmãs,40,15
906,-0.603237936115361,Geostorm - Ameaça Global,55,28
909,-0.49858135941147186,Peregrinação,34,15
910,-0.5185738569522302,Stronger - A Força de Viver,27,15
911,-0.3601897124193575,Um Susto de Família,49,35
912,-0.6780767136225847,O Estrangeiro,17,35
913,-0.5351978623184099,Blade Runner 2049,20,42
914,-0.40510764726229753,A Paixão de Van Gogh,12,28
915,-0.29668633224801466,A Festa,8,15
916,-0.7987898212534128,O Boneco de Neve,15,28
918,-0.5863836686228392,O Pequeno Vampiro,29,28
919,-0.7320006243262884,A Vida de Brad,19,14
921,-0.27889550830653553,Um Crime no Expresso do Oriente,60,14
922,-0.5478810583869953,Thor: Ragnarok ,76,28
923,-0.2205550127908147,O Gangue do Parque 2,71,22
924,-0.2805762195895555,Mães à Solta 2,41,14
925,-0.48212145242287974,Jigsaw: O Legado de Saw,43,28
928,-0.5624311867025901,Sete Irmãs,30,22
930,-0.42131222568035154,Vive,41,14
932,-0.6953601211827598,Geostorm - Ameaça Global,24,35
933,-0.6440903743843123,Marcas de Guerra,26,14
934,-0.582447456573389,Peregrinação,21,22
935,-0.5397781610568133,Um Susto de Família,31,42
936,-0.31682131073822306,A Paixão de Van Gogh,10,35
937,-0.6698339037217076,Stronger - A Força de Viver,13,22
938,-0.44580200167481054,Blade Runner 2049,13,49
939,-0.4902539381721286,O Estrangeiro,7,42
941,-0.5343971714199444,Liga da Justiça,102,14
942,-0.33416727921317735,Um Crime no Expresso do Oriente,60,21
945,-0.420155708313697,Thor: Ragnarok ,72,35
946,-0.33608282129726796,Mães à Solta 2,42,21
948,-0.6553153459409838,O Gangue do Parque 2,64,29
949,-0.17380249241066914,Rapto,21,14
951,-0.45054531012252874,Um Homem de Família,29,14
952,-0.6234293690124197,Jigsaw: O Legado de Saw,21,35
953,-0.5591469867762249,Sete Irmãs,12,29
954,-0.6365290966788045,The Only Living Boy in New York,23,14
956,-0.5368403945682882,Bob O Construtor: Mega Mechines - O Filme,44,14
957,-0.6601477516263705,Vive,24,21
958,-0.41020077009690104,A Paixão de Van Gogh,8,42
959,-0.607249990242082,Peregrinação,9,29
960,0.11052367352935377,Coco,118,14
961,-0.21177694915303313,Liga da Justiça,97,21
965,-0.12328160284067158,Um Crime no Expresso do Oriente,64,28
967,-0.40001648812290114,Só Para Bravos,54,14
968,-0.2534656394264393,O Homem do Coração de Ferro,24,14
969,-0.20962061473282578,O Espírito da Festa,16,14
970,-0.5499954806032274,Mães à Solta 2,22,28
971,-0.10363292300596094,O Quadrado,10,14
972,-0.680204448323609,Thor: Ragnarok ,25,42
973,-0.4353265829153349,Rapto,16,21
974,-0.6495645938984966,O Gangue do Parque 2,40,36
975,-0.3695400527770081,Sete Irmãs,9,36
977,-0.5717336815374254,Jigsaw: O Legado de Saw,8,42
978,-0.37612903621627924,Gauguin,6,14
979,-0.3424256298518933,A Paixão de Van Gogh,6,49
980,-0.19772978342771685,Coco,121,21
981,0.1765562556425102,A Estrela de Natal,90,14
983,-0.12898710639327815,O Fim da Inocência,51,14
985,-0.42988724454164307,Liga da Justiça,86,28
986,-0.2632788046294574,Pai Há Só Um... Ou Dois,72,14
987,-0.304799003809463,Um Crime no Expresso do Oriente,48,35
988,-0.21664342740663411,A Montanha Entre Nós,34,14
993,-0.2966765725328495,O Quadrado,10,21
994,-0.5271115724195492,O Espírito da Festa,7,21
995,-0.7733051284125424,Só Para Bravos,32,21
996,-0.7207384188994883,O Homem do Coração de Ferro,19,21
999,-0.35049256326057565,Lucky,7,14
1000,11.833687611482858,Star Wars: Episódio VIII - Os Últimos Jedi,209,7
1001,0.1775379950325897,A Estrela de Natal,171,21
1002,-0.07145222129931517,Coco,133,28
1003,-0.053083192152299175,Paddington 2,116,14
1005,-0.30246121232004786,O Fim da Inocência,49,21
1006,-0.3898789825588802,Wonder - Encantador,50,14
1008,-0.4477182234540893,Pai Há Só Um... Ou Dois,63,21
1009,-0.5056802810690513,Um Crime no Expresso do Oriente,30,42
1010,-0.6134065371184104,Liga da Justiça,50,35
1011,-0.5002901123748595,A Montanha Entre Nós,32,21
1012,-0.5553666895917664,Leatherface - A Origem do Mal,29,14
1013,-0.5664962201148054,A Casa Torta,19,14
1014,-0.6158072651456918,24 Horas Para Viver,20,14
1017,-0.3585387614328994,O Quadrado,7,28
1018,-0.5241595309219458,O Espírito da Festa,7,28
1019,-0.5526345920446999,O Gangue do Parque 2,15,50
1020,-0.37370290585163324,Star Wars: Episódio VIII - Os Últimos Jedi,152,14
1023,-0.18103018319425557,Coco,80,35
1024,-0.45587459517183837,A Estrela de Natal,77,28
1025,-0.5127744794904716,Paddington 2,73,21
1027,-0.504129047270868,Entre Rivais,40,14
1028,-0.4022128901604597,Wonder - Encantador,41,21
1029,-0.48284284256816434,O Fim da Inocência,38,28
1030,-0.4375767336511768,Roda Gigante,30,14
1031,-0.5657783352494491,Pai Há Só Um... Ou Dois,38,28
1032,-0.49004152646984156,Um Crime no Expresso do Oriente,16,49
1033,-0.6439854006004592,A Montanha Entre Nós,19,28
1036,-0.7187395619146426,Liga da Justiça,16,41
1038,-0.5426454737375503,My Little Pony: The Movie - A Magia do Póneis,46,14
1039,-0.452457156938079,O Homem Que Inventou o Natal,15,14
