,Weekly drop (revenue),Title,Screens (week),Days since premiere
155,-0.5997293786916982,Cantar!,26,77
156,-0.377255039574805,Manchester by the Sea,11,49
157,-0.8206926235616382,Resident Evil: Capítulo Final,18,28
159,-0.6842047366176178,Aqui Há Gato!,15,28
160,-0.3457641826352954,As Cinquenta Sombras Mais Negras,87,21
161,-0.03163854340246697,A Grande Muralha,70,14
162,0.5881244173963402,Lego Batman: O Filme,98,14
164,0.24810869699911176,La La Land: Melodia de Amor,65,35
167,0.018554862647216952,Rings,29,21
168,0.47421315960102417,Moonlight,19,28
169,-0.09595488735709445,Elementos Secretos,25,28
170,-0.34780856902026325,Fragmentado,31,28
171,0.4533471156357587,Ozzy,38,49
172,-0.3761935552796366,Jackie,23,21
173,-0.2837545080202698,Mulheres do Século XX,22,14
174,-0.22909651448676693,Silêncio,19,42
175,-0.21545762024367632,xXx: O Regresso de Xander Cage,20,42
176,1.3484163029286678,Cantar!,28,84
177,0.540948257168482,Lion - A Longa Estrada Para Casa,5,84
178,0.6523706535678369,Manchester by the Sea,9,56
179,1.4288251725271115,Aqui Há Gato!,14,35
181,-0.5087749412897298,As Cinquenta Sombras Mais Negras,79,28
182,-0.6639966481560857,A Grande Muralha,76,21
183,-0.6056283947176895,John Wick 2,57,14
184,-0.7405605148591994,Lego Batman: O Filme,72,21
187,0.17968740957637652,Moonlight,29,35
188,-0.5080751456443044,Vedações,24,14
189,-0.6325797710999391,La La Land: Melodia de Amor,54,42
190,-0.591665353107282,T2 Trainspotting,41,14
192,-0.6396915163773811,Elementos Secretos,18,35
194,-0.7845622420937801,Rings,17,28
195,-0.44258309645098703,Lion - A Longa Estrada Para Casa,8,91
196,-0.4493466838432818,Manchester by the Sea,8,63
197,-0.7150342559605374,Silêncio,10,49
198,-0.7846694147049991,Jackie,7,28
199,-0.8245507050462926,Ozzy,27,56
201,-0.44982442106360343,Logan,83,14
202,-0.5456917307712787,As Cinquenta Sombras Mais Negras,59,35
204,-0.24659717558618022,Moonlight,31,42
205,-0.3828546508753432,Rock Dog - Um Sonho Altamente!,54,14
206,-0.5364571599432792,John Wick 2,42,21
207,-0.6159562697156733,A Grande Muralha,55,28
208,-0.5136048282641923,Lego Batman: O Filme,66,28
209,-0.5996204935983083,Ouro,39,14
210,-0.514209627054734,Vedações,32,21
213,-0.5923774042679877,La La Land: Melodia de Amor,39,49
216,-0.6783880724488756,O Espaço Que Nos Une,27,14
217,-0.7235668431533337,T2 Trainspotting,21,21
218,-0.5007191485758966,Elementos Secretos,11,42
219,-0.6354341344676002,Um Instante de Amor,16,14
221,-0.43138767787936727,Kong: A Ilha da Caveira,79,14
222,-0.4465684276198101,Logan,74,21
223,-0.2987513436252529,São Jorge,25,14
225,-0.4872602483169248,As Cinquenta Sombras Mais Negras,47,42
227,-0.5133112350828062,Moonlight,30,49
229,-0.5614974754109657,Rock Dog - Um Sonho Altamente!,50,21
230,-0.5002548623451848,Lego Batman: O Filme,52,35
231,-0.6236004043611322,John Wick 2,20,28
232,-0.48380063162838705,Um Reino Unido,23,14
234,-0.5317804524263461,A Autópsia de Jane Doe,14,14
235,-0.7751565354838019,A Grande Muralha,25,35
236,-0.31093100030930243,Neruda,12,14
237,-0.7258924671272126,La La Land: Melodia de Amor,15,56
238,-0.7820429851924081,Vedações,10,28
240,-0.13656667580913784,A Bela e o Monstro,133,14
242,-0.2557240211453843,Kong: A Ilha da Caveira,69,21
243,-0.2982067356883791,Logan,64,28
246,-0.18244059388109324,São Jorge,28,21
247,-0.33116058599927223,Collide - A Alta Velocidade,27,14
248,-0.14261836033469433,Malapata,27,14
250,0.3160999947113823,Aquarius,14,14
251,-0.2870873646047909,Moonlight,15,56
252,-0.12999713941980928,Lego Batman: O Filme,46,42
254,-0.21174568498017354,Rock Dog - Um Sonho Altamente!,34,28
255,-0.38925244950310256,O Fundador,26,14
256,-0.665400537850759,As Cinquenta Sombras Mais Negras,12,49
259,0.10630161947525085,Vedações,10,35
260,-0.3963586529208014,A Bela e o Monstro,138,21
263,-0.47531472670005936,Kong: A Ilha da Caveira,53,28
264,-0.5408115931446739,Vida Inteligente,54,14
266,-0.35462115668898697,Patrulha de Doidos,32,14
267,-0.6164153055083132,Logan,32,35
268,-0.44297145739339705,Power Rangers,64,14
270,-0.5333355636674798,São Jorge,20,28
271,-0.3954626431794718,Médico de Província,9,14
272,-0.6243448327539052,Malapata,19,21
273,-0.5546458196885999,Aquarius,7,21
274,-0.7606311825607059,Collide - A Alta Velocidade,14,21
275,-0.5978688136130623,Moonlight,9,63
276,-0.5972843582720913,Lego Batman: O Filme,23,49
278,-0.7373883708639443,Eusébio - História de uma Lenda,24,14
279,-0.7409193313242403,Rock Dog - Um Sonho Altamente!,21,35
280,-0.15919799708245297,A Bela e o Monstro,140,28
281,0.2133381564260841,Smurfs: A Aldeia Perdida,98,14
283,-0.36951633055382294,Ghost in the Shell - Agente do Futuro,95,14
